Year,Player,Tm,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS/48,W/L%
1984,Moses Malone,PHI,0.046,71,36.8,22.7,13.4,1.4,1.0,1.5,0.483,0.0,0.75,0.175,0.634
1984,Mark Aguirre,DAL,0.037,79,36.7,29.5,5.9,4.5,1.0,0.3,0.524,0.268,0.749,0.149,0.524
1984,Bill Laimbeer,DET,0.012,82,34.9,17.3,12.2,1.8,0.6,1.0,0.53,0.0,0.866,0.181,0.598
1984,Rickey Green,UTA,0.011,81,34.2,13.2,2.8,9.2,2.7,0.2,0.486,0.118,0.821,0.138,0.549
1984,World B. Free,CLE,0.001,75,31.7,22.3,2.9,3.0,1.3,0.1,0.445,0.319,0.784,0.107,0.341
1984,Marques Johnson,MIL,0.001,74,36.7,20.7,6.5,4.3,1.6,0.6,0.502,0.154,0.709,0.152,0.61
1985,Larry Bird,BOS,0.978,80,39.5,28.7,10.5,6.6,1.6,1.2,0.522,0.427,0.882,0.238,0.768
1985,Magic Johnson,LAL,0.338,77,36.1,18.3,6.2,12.6,1.5,0.3,0.561,0.189,0.843,0.22,0.756
1985,Moses Malone,PHI,0.279,79,37.4,24.6,13.1,1.6,0.8,1.6,0.469,0.0,0.815,0.193,0.707
1985,Kareem Abdul-Jabbar,LAL,0.264,79,33.3,22.0,7.9,3.2,0.8,2.1,0.599,0.0,0.732,0.204,0.756
1985,Terry Cummings,MIL,0.177,79,34.5,23.6,9.1,2.9,1.5,0.8,0.495,0.0,0.741,0.189,0.72
1985,Michael Jordan,CHI,0.172,82,38.3,28.2,6.5,5.9,2.4,0.8,0.515,0.173,0.845,0.213,0.463
1985,Bernard King,NYK,0.09,55,37.5,32.9,5.8,3.7,1.3,0.3,0.53,0.1,0.772,0.166,0.293
1985,Sidney Moncrief,MIL,0.083,73,37.5,21.7,5.4,5.2,1.6,0.5,0.483,0.273,0.828,0.197,0.72
1985,Isiah Thomas,DET,0.081,81,38.1,21.2,4.5,13.9,2.3,0.3,0.458,0.257,0.809,0.173,0.561
1985,Ralph Sampson,HOU,0.033,82,37.6,22.1,10.4,2.7,1.0,2.0,0.502,0.0,0.676,0.096,0.585
1985,Calvin Natt,DEN,0.028,78,34.1,23.3,7.8,3.1,1.0,0.4,0.546,0.0,0.793,0.185,0.634
1985,Alex English,DEN,0.015,81,36.1,27.9,5.7,4.2,1.2,0.6,0.518,0.2,0.829,0.146,0.634
1985,Hakeem Olajuwon,HOU,0.015,82,35.5,20.6,11.9,1.4,1.2,2.7,0.538,,0.613,0.168,0.585
1985,Michael Ray Richardson,NJN,0.014,82,38.1,20.1,5.6,8.2,3.0,0.3,0.469,0.252,0.767,0.134,0.512
1985,Andrew Toney,PHI,0.006,70,32.0,17.8,2.5,5.2,0.9,0.3,0.492,0.371,0.862,0.118,0.707
1985,Mark Eaton,UTA,0.005,82,34.3,9.7,11.3,1.5,0.4,5.6,0.449,,0.712,0.093,0.5
1985,Paul Pressey,MIL,0.004,80,36.0,16.1,5.4,6.8,1.6,0.7,0.517,0.35,0.758,0.16,0.72
1985,Jack Sikma,SEA,0.004,68,35.3,18.5,10.6,4.2,1.2,1.3,0.489,0.2,0.852,0.166,0.378
1985,Dominique Wilkins,ATL,0.004,81,37.3,27.4,6.9,2.5,1.7,0.7,0.451,0.309,0.806,0.121,0.415
1985,World B. Free,CLE,0.003,71,31.7,22.5,3.0,4.5,1.1,0.2,0.459,0.368,0.749,0.127,0.439
1985,Purvis Short,GSW,0.003,78,39.5,28.0,5.1,3.0,1.5,0.3,0.46,0.313,0.817,0.097,0.268
1985,Clyde Drexler,POR,0.001,80,31.9,17.2,6.0,5.5,2.2,0.9,0.494,0.216,0.759,0.141,0.512
1985,Julius Erving,PHI,0.001,78,32.5,20.0,5.3,3.0,1.7,1.4,0.494,0.214,0.765,0.144,0.707
1986,Larry Bird,BOS,0.981,82,38.0,25.8,9.8,6.8,2.0,0.6,0.496,0.423,0.896,0.244,0.817
1986,Dominique Wilkins,ATL,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,0.17,0.61
1986,Magic Johnson,LAL,0.263,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,0.226,0.756
1986,Hakeem Olajuwon,HOU,0.247,68,36.3,23.5,11.5,2.0,2.0,3.4,0.526,,0.645,0.186,0.622
1986,Kareem Abdul-Jabbar,LAL,0.173,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0.0,0.765,0.197,0.756
1986,Charles Barkley,PHI,0.171,80,36.9,20.0,12.8,3.9,2.2,1.6,0.572,0.227,0.685,0.176,0.659
1986,Sidney Moncrief,MIL,0.072,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,0.219,0.695
1986,Alex English,DEN,0.071,81,37.3,29.8,5.0,4.0,0.9,0.4,0.504,0.2,0.862,0.156,0.573
1986,Isiah Thomas,DET,0.036,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,0.151,0.561
1986,Moses Malone,PHI,0.027,74,36.6,23.8,11.8,1.2,0.9,1.0,0.458,0.0,0.787,0.157,0.659
1986,Terry Cummings,MIL,0.012,82,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0.0,0.656,0.133,0.695
1986,James Worthy,LAL,0.009,75,32.7,20.0,5.2,2.7,1.1,1.0,0.579,0.0,0.771,0.185,0.756
1986,Kevin McHale,BOS,0.004,68,35.3,21.3,8.1,2.7,0.4,2.0,0.574,,0.776,0.22,0.817
1986,Paul Pressey,MIL,0.004,80,33.8,14.3,5.0,7.8,2.1,0.9,0.488,0.182,0.806,0.174,0.695
1986,Alvin Robertson,SAS,0.004,82,35.1,17.0,6.3,5.5,3.7,0.5,0.514,0.276,0.795,0.143,0.427
1986,Adrian Dantley,UTA,0.003,76,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,0.223,0.512
1986,Buck Williams,NJN,0.003,82,37.4,15.9,12.0,1.6,0.9,1.2,0.523,0.0,0.676,0.106,0.476
1986,Dennis Johnson,BOS,0.001,78,35.0,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,0.118,0.817
1987,Magic Johnson,LAL,0.94,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,0.263,0.793
1987,Michael Jordan,CHI,0.576,82,40.0,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,0.247,0.488
1987,Larry Bird,BOS,0.347,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,0.243,0.72
1987,Kevin McHale,BOS,0.326,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0.0,0.836,0.232,0.72
1987,Dominique Wilkins,ATL,0.164,79,37.6,29.0,6.3,3.3,1.5,0.6,0.463,0.292,0.818,0.197,0.695
1987,Charles Barkley,PHI,0.145,68,40.3,23.0,14.6,4.9,1.8,1.5,0.594,0.202,0.761,0.21,0.549
1987,Hakeem Olajuwon,HOU,0.036,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,0.189,0.512
1987,Isiah Thomas,DET,0.022,81,37.2,20.6,3.9,10.0,1.9,0.2,0.463,0.194,0.768,0.121,0.634
1987,Fat Lever,DEN,0.014,82,37.2,18.9,8.9,8.0,2.5,0.4,0.469,0.239,0.782,0.153,0.451
1987,Moses Malone,WSB,0.012,73,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0.0,0.824,0.182,0.512
1987,Steve Johnson,POR,0.005,79,29.7,16.8,7.2,2.0,0.6,1.0,0.556,,0.698,0.091,0.598
1987,Karl Malone,UTA,0.004,82,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0.0,0.598,0.116,0.537
1987,Robert Parish,BOS,0.004,80,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0.0,0.735,0.147,0.72
1987,Alex English,DEN,0.003,82,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,0.126,0.451
1987,Mark Aguirre,DAL,0.001,80,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,0.16,0.671
1987,Rolando Blackman,DAL,0.001,80,34.5,21.0,3.5,3.3,0.8,0.3,0.495,0.333,0.884,0.14,0.671
1987,Joe Barry Carroll,GSW,0.001,81,33.6,21.2,7.3,2.6,1.1,1.5,0.472,,0.787,0.082,0.512
1988,Michael Jordan,CHI,0.831,82,40.4,35.0,5.5,5.9,3.2,1.6,0.535,0.132,0.841,0.308,0.61
1988,Larry Bird,BOS,0.659,76,39.0,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,0.243,0.695
1988,Magic Johnson,LAL,0.635,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,0.199,0.756
1988,Charles Barkley,PHI,0.136,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,0.253,0.439
1988,Clyde Drexler,POR,0.108,81,37.8,27.0,6.6,5.8,2.5,0.6,0.506,0.212,0.811,0.207,0.646
1988,Dominique Wilkins,ATL,0.069,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,0.16,0.61
1988,Hakeem Olajuwon,HOU,0.05,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0.0,0.695,0.182,0.561
1988,Karl Malone,UTA,0.045,82,39.0,27.7,12.0,2.4,1.4,0.6,0.52,0.0,0.7,0.152,0.573
1988,Fat Lever,DEN,0.033,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,0.163,0.659
1988,John Stockton,UTA,0.019,82,34.7,14.7,2.9,13.8,3.0,0.2,0.574,0.358,0.84,0.238,0.573
1988,Alex English,DEN,0.005,80,35.2,25.0,4.7,4.7,0.9,0.3,0.495,0.0,0.828,0.129,0.659
1988,Isiah Thomas,DET,0.004,81,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,0.124,0.659
1988,Mark Jackson,NYK,0.003,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,0.113,0.463
1988,Michael Adams,DEN,0.001,82,33.9,13.9,2.7,6.1,2.0,0.2,0.449,0.367,0.834,0.13,0.659
1988,Mark Aguirre,DAL,0.001,77,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,0.163,0.646
1988,Adrian Dantley,DET,0.001,69,31.1,20.0,3.3,2.5,0.6,0.1,0.514,0.0,0.86,0.21,0.659
1988,Buck Williams,NJN,0.001,70,37.7,18.3,11.9,1.6,1.0,0.6,0.56,1.0,0.668,0.138,0.232
1989,Magic Johnson,LAL,0.782,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,0.267,0.695
1989,Michael Jordan,CHI,0.704,81,40.2,32.5,8.0,8.0,2.9,0.8,0.538,0.276,0.85,0.292,0.573
1989,Karl Malone,UTA,0.426,80,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,0.233,0.622
1989,Patrick Ewing,NYK,0.235,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0.0,0.746,0.181,0.634
1989,Hakeem Olajuwon,HOU,0.211,82,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0.0,0.696,0.197,0.549
1989,Charles Barkley,PHI,0.111,79,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,0.25,0.561
1989,John Stockton,UTA,0.033,82,38.7,17.1,3.0,13.6,3.2,0.2,0.538,0.242,0.863,0.236,0.622
1989,Kevin Johnson,PHO,0.026,81,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,0.184,0.671
1989,Tom Chambers,PHO,0.024,81,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,0.146,0.671
1989,Mark Price,CLE,0.021,75,36.4,18.9,3.0,8.4,1.5,0.1,0.526,0.441,0.901,0.199,0.695
1989,Brad Daugherty,CLE,0.005,78,36.2,18.9,9.2,3.7,0.8,0.5,0.538,0.333,0.737,0.164,0.695
1989,Robert Parish,BOS,0.005,80,35.5,18.6,12.5,2.2,1.0,1.5,0.57,,0.719,0.177,0.512
1989,Mark Eaton,UTA,0.004,82,35.5,6.2,10.3,1.0,0.5,3.8,0.462,,0.66,0.108,0.622
1989,Moses Malone,ATL,0.004,81,35.5,20.2,11.8,1.4,1.0,1.2,0.491,0.0,0.789,0.178,0.634
1989,Chris Mullin,GSW,0.004,82,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,0.165,0.524
1989,Larry Nance,CLE,0.004,73,34.6,17.2,8.0,2.2,0.8,2.8,0.539,0.0,0.799,0.197,0.695
1989,Terry Cummings,MIL,0.001,80,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,0.131,0.598
1989,Joe Dumars,DET,0.001,69,34.9,17.2,2.5,5.7,0.9,0.1,0.505,0.483,0.85,0.14,0.768
1989,Isiah Thomas,DET,0.001,80,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,0.115,0.768
1990,Magic Johnson,LAL,0.691,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,0.27,0.768
1990,Charles Barkley,PHI,0.667,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,0.269,0.646
1990,Michael Jordan,CHI,0.613,82,39.0,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,0.285,0.671
